gvkey,datadate,fyear,ceq,seq,pstk,csho,prcc_f,dvc,ticker,conm
117768,2025-01-31,2024,79327.0,79327.0,0.0,24477.0,120.07,834.0,NVDA,NVIDIA CORP
339965,2025-01-31,2024,2999.929,2999.929,0.0,330.071,181.51,,SNOW,SNOWFLAKE INC
157855,2025-01-31,2024,61173.0,61173.0,0.0,962.0,341.7,1549.0,CRM,SALESFORCE INC
035005,2025-01-31,2024,8935.084,8935.084,0.0,306.624,86.94,,ZM,ZOOM COMMUNICATIONS INC
064768,2024-12-31,2024,285970.0,285970.0,0.0,10593.0,219.39,0.0,AMZN,AMAZON.COM INC
006008,2024-12-31,2024,99270.0,99270.0,0.0,4330.0,20.05,1599.0,INTC,INTEL CORP
023650,2024-12-31,2024,11558.0,11558.0,0.0,1294.58,106.33,0.0,SHOP,SHOPIFY INC
024616,2024-12-31,2024,20417.0,20417.0,0.0,993.0,85.35,0.0,PYPL,PAYPAL HOLDINGS INC
036910,2024-12-31,2024,5003.275,5003.275,0.0,2338.795,75.63,0.0,PLTR,PALANTIR TECHNOLOG INC
001161,2024-12-31,2024,57568.0,57568.0,0.0,1622.0,120.79,0.0,AMD,ADVANCED MICRO DEVICES
147579,2024-12-31,2024,24743.567,24743.567,0.0,427.757,891.32,0.0,NFLX,NETFLIX INC
160329,2024-12-31,2024,321984.0,321984.0,0.0,12211.0,189.3,7577.0,GOOGL,ALPHABET INC
170617,2024-12-31,2024,182637.0,182637.0,0.0,2534.0,585.51,5121.0,META,META PLATFORMS INC
184996,2024-12-31,2024,72913.0,72913.0,0.0,3216.0,403.84,0.0,TSLA,TESLA INC
012540,2024-11-30,2024,14105.0,14105.0,0.0,441.0,515.93,0.0,ADBE,ADOBE INC
180711,2024-10-31,2024,67678.0,67678.0,0.0,4686.0,169.77,9814.0,AVGO,BROADCOM INC
001690,2024-09-30,2024,56950.0,56950.0,0.0,15116.786,233.0,15218.0,AAPL,APPLE INC
024800,2024-09-30,2024,26274.0,26274.0,0.0,1113.0,170.05,3794.0,QCOM,QUALCOMM INC
012141,2024-06-30,2024,268477.0,268477.0,0.0,7434.0,446.95,22293.0,MSFT,MICROSOFT CORP
157855,2024-01-31,2023,59646.0,59646.0,0.0,971.0,281.09,0.0,CRM,SALESFORCE INC
339965,2024-01-31,2023,5180.308,5180.308,0.0,333.961,195.64,0.0,SNOW,SNOWFLAKE INC
117768,2024-01-31,2023,42978.0,42978.0,0.0,2464.0,615.27,395.0,NVDA,NVIDIA CORP
035005,2024-01-31,2023,8019.406,8019.406,0.0,307.558,64.61,0.0,ZM,ZOOM COMMUNICATIONS INC
