gvkey,datadate,fyear,at,lt,dltt,dlc,ceq,seq,csho,prcc_f,mkvalt,ticker,conm,debt_to_equity,debt_to_assets
117768,2025-01-31,2024,111601.0,32274.0,9982.0,288.0,79327.0,79327.0,24477.0,120.07,2938953.39,NVDA,NVIDIA CORP,0.1294641168832806,0.09202426501554646
339965,2025-01-31,2024,9033.938,6027.295,2649.347,35.923,2999.929,2999.929,330.071,181.51,59911.1872,SNOW,SNOWFLAKE INC,0.8951111842980285,0.29724246502466595
157855,2025-01-31,2024,102928.0,41755.0,11154.0,916.0,61173.0,61173.0,962.0,341.7,328715.4,CRM,SALESFORCE INC,0.19730927042976476,0.11726643867557905
035005,2025-01-31,2024,10988.421,2053.337,37.406,,8935.084,8935.084,306.624,86.94,26657.8906,ZM,ZOOM COMMUNICATIONS INC,0.004186418392932847,0.0034041287642692245
064768,2024-12-31,2024,624894.0,338924.0,138000.0,17401.0,285970.0,285970.0,10593.0,219.39,2323998.27,AMZN,AMAZON.COM INC,0.5434171416582159,0.24868377676853995
006008,2024-12-31,2024,196485.0,91453.0,46561.0,3910.0,99270.0,99270.0,4330.0,20.05,86816.5,INTC,INTEL CORP,0.5084214767804976,0.25686948113087515
023650,2024-12-31,2024,13924.0,2366.0,190.0,936.0,11558.0,11558.0,1294.58,106.33,137652.6914,SHOP,SHOPIFY INC,0.09742169925592663,0.08086756679115197
024616,2024-12-31,2024,81611.0,61194.0,10526.0,1331.0,20417.0,20417.0,993.0,85.35,84752.55,PYPL,PAYPAL HOLDINGS INC,0.5807415389136504,0.14528678732033673
036910,2024-12-31,2024,6340.884,1246.477,195.226,43.993,5003.275,5003.275,2338.795,75.63,176883.0659,PLTR,PALANTIR TECHNOLOG INC,0.047812482823750446,0.037726443189940076
001161,2024-12-31,2024,69226.0,11658.0,2212.0,109.0,57568.0,57568.0,1622.0,120.79,195921.38,AMD,ADVANCED MICRO DEVICES,0.040317537520844916,0.033527865252939645
147579,2024-12-31,2024,53630.374,28886.807,15782.039,2212.935,24743.567,24743.567,427.757,891.32,381268.3692,NFLX,NETFLIX INC,0.7272586850553925,0.3355369850674545
160329,2024-12-31,2024,450256.0,125172.0,24016.0,4121.0,321984.0,321984.0,12211.0,189.3,2317829.4,GOOGL,ALPHABET INC,0.0873863297555158,0.06249111616502612
170617,2024-12-31,2024,276054.0,93417.0,47751.0,2018.0,182637.0,182637.0,2534.0,585.51,1483682.34,META,META PLATFORMS INC,0.27250228595520076,0.1802871901874271
184996,2024-12-31,2024,122070.0,48390.0,10360.0,3263.0,72913.0,72913.0,3216.0,403.84,1298749.44,TSLA,TESLA INC,0.18683910962379824,0.11159990169574834
012540,2024-11-30,2024,30230.0,16125.0,4482.0,1574.0,14105.0,14105.0,441.0,515.93,227525.13,ADBE,ADOBE INC,0.4293512938674229,0.20033079722130334
180711,2024-10-31,2024,165645.0,97967.0,67438.0,1478.0,67678.0,67678.0,4686.0,169.77,795542.22,AVGO,BROADCOM INC,1.0182925027335323,0.41604636421262337
001690,2024-09-30,2024,364980.0,308030.0,96548.0,22511.0,56950.0,56950.0,15116.786,233.0,3522211.138,AAPL,APPLE INC,2.090588235294118,0.32620691544742175
024800,2024-09-30,2024,55154.0,28880.0,13978.0,1462.0,26274.0,26274.0,1113.0,170.05,189265.65,QCOM,QUALCOMM INC,0.5876531932709143,0.27994343112013637
012141,2024-06-30,2024,512163.0,243686.0,82981.0,14871.0,268477.0,268477.0,7434.0,446.95,3322626.3,MSFT,MICROSOFT CORP,0.36447069953850797,0.19105636291571237
157855,2024-01-31,2023,99823.0,40177.0,11673.0,1889.0,59646.0,59646.0,971.0,281.09,272938.39,CRM,SALESFORCE INC,0.2273748449183516,0.13586047303727597
339965,2024-01-31,2023,8223.383,3032.789,254.037,33.944,5180.308,5180.308,333.961,195.64,65336.13,SNOW,SNOWFLAKE INC,0.055591482205305166,0.035019772276203114
117768,2024-01-31,2023,65728.0,22750.0,9578.0,1478.0,42978.0,42978.0,2464.0,615.27,1516025.28,NVDA,NVIDIA CORP,0.25724789427148775,0.16820837390457644
035005,2024-01-31,2023,9929.793,1910.387,48.308,24.645,8019.406,8019.406,307.558,64.61,19871.3224,ZM,ZOOM COMMUNICATIONS INC,0.009097057812012511,0.007346880242115823
